"name";"url";"neighborhood";"district";"categories";"ownership";"type_group";"region";"city";"state";"location";"location_geo";"latitude";"longitude";"address";"area_code";"activity_level";"audience_size";"image";"description";"contact";"email";"source";"calendar_url"
"Magnuson Community Garden";"http://cityofseattle.net/MAGNUSONGARDEN";"Laurelhurst";"Northeast";"garden";;"website";"NE";"Seattle";"WA";;;;;;;;;;;;;;
"Magnuson Environmental Stewardship Alliance";"http://mesaseattle.org/";"Laurelhurst";"Northeast";"park issues";"community";"website";"NE";"Seattle";"WA";;;;;;;;;;;;;;
"Maple Leaf Community Council";"http://www.mapleleafcommunity.org/";"Maple Leaf";"Northeast";"community council, email list available";"community";"website";"NE";"Seattle";"WA";;;;;;;;;;;;;;
"Ravenna Blog";"http://twitter.com/ravennablog";"Ravenna";"Northeast";"news, events, human interest, criminal activity, food, shopping";"community";"twitter";"NE";"Seattle";"WA";;;;;;;;;;;;;;
"Ravenna Blog";"http://www.facebook.com/pages/Ravenna-Blog/116280421718247";"Ravenna";"Northeast";"news, events, human interest, criminal activity, food, shopping";"community";"facebook page";"NE";"Seattle";"WA";;;;;;;;;;;;;;
"Ravenna Blog";"http://www.ravennablog.com/";"Ravenna";"Northeast";"news, events, human interest, criminal activity, food, shopping";"community";"blog";"NE";"Seattle";"WA";;;;;;;;;;;;;;
"Ravenna-Bryant Community Association";"http://www.facebook.com/pages/Ravenna-Bryant-Community-Association/153638664651035";"Ravenna";"Northeast";"community association";"community";"facebook page";"NE";"Seattle";"WA";;;;;;;;;;;;;;
"Ravenna-Bryant Community Association";"http://www.ravennabryant.org/";"Ravenna";"Northeast";"community association";"community ";"website";"NE";"Seattle";"WA";;;;;;;;;;;;;;
"Roosevelt Neighborhood Association";"http://rooseveltseattle.org/default.aspx";"Roosevelt";"Northeast";"neighborhood association";"community";"website";"NE";"Seattle";"WA";;;;;;;;;;;;;;
"Roosevelt Neighborhood Association";"http://www.facebook.com/group.php?gid=178766520060";"Roosevelt";"Northeast";"neighborhood association";"community";"facebook page";"NE";"Seattle";"WA";;;;;;;;;;;;;;
"Roosevelt Neighbors' Alliance";"http://www.rooseveltneighborsalliance.org/main/Roosevelt_Neighbors_Alliance.html";"Roosevelt";"Northeast";"neighborhood association";"community";"website";"NE";"Seattle";"WA";;;;;;;;;;;;;;
"Roosevelt Seattle";"http://twitter.com/roosieseattle";"Roosevelt";"Northeast";"news, events";"community";"twitter";"NE";"Seattle";"WA";;;;;;;;;;;;;;
"Sustainable Northeast Seattle";"http://sustainableneseattle.ning.com/";"Wedgwood, Laurelhurst, Ravenna, Roosevelt";"Northeast";"community group";"community";"ning";"NE";"Seattle";"WA";;;;;;;;;;;;;;
"The Laurelhurst Blog";"http://thelaurelhurstblog.blogspot.com/";"Laurelhurst";"Northeast";"news, events";"community";"blog";"NE";"Seattle";"WA";;;;;;;;;;;;;;
"The Wedgwood Blog";"http://wedgwoodblog.spaces.live.com/default.aspx";"Wedgwood";"Northeast";"news, events";"commercial";"blog";"NE";"Seattle";"WA";;;;;;;;;;;;;;
"Thornton Creek Alliance";"http://www.scn.org/tca/";"Thornton Creek";"Northeast";"community group";;"website";"NE";"Seattle";"WA";;;;;;;;;;;;;;
"U District Daily";"http://www.udistrictdaily.com/";"University District";"Northeast";"news, events, human interest, criminal activity, shopping";"commercial";"blog";"NE";"Seattle";"WA";;;;;;;;;;;;;;
"University District Business Improvement Area";"http://www.udistrictchamber.org/UDBIA/index.html";"University District";"Northeast";"business association";"community";"website";"NE";"Seattle";"WA";;;;;;;;;;;;;;
"University District Food Bank";"http://www.facebook.com/pages/Seattle-WA/University-District-Food-Bank/47523824407";"University District";"Northeast";"food bank";"community";"facebook page";"NE";"Seattle";"WA";;;;;;;;;;;;;;
"University District Food Bank";"http://www.udistrictfoodbank.org/";"University District";"Northeast";"food bank";"community";"website";"NE";"Seattle";"WA";;;;;;;;;;;;;;
"University District Seattle";"http://www.udistrictchamber.org/GUCC/GUCC.html";"University District";"Northeast";"chamber of commerce";"community";"website";"NE";"Seattle";"WA";;;;;;;;;;;;;;
"University District Service Fund";"http://www.udistrictchamber.org/udistrictservicefund/index.html";"University District";"Northeast";"nonprofit";"community";"website";"NE";"Seattle";"WA";;;;;;;;;;;;;;
"Wedgwood Block Watch";"http://www.wedgwoodcc.org/wwbw/";"Wedgwood";"Northeast";"block watch";"community";"website";"NE";"Seattle";"WA";;;;;;;;;;;;;;
"Wedgwood Community Council";"http://www.wedgwoodcc.org/";"Wedgwood";"Northeast";"community council";"community";"website";"NE";"Seattle";"WA";;;;;;;;;;;;;;
"Wedgwood Community Council";"http://www.facebook.com/pages/Wedgwood-Community-Council/146730522040662";"Wedgwood";"Northeast";"community council";"community";"facebook page";"NE";"Seattle";"WA";;;;;;;;;;;;;;
"Wedgwood View";"http://twitter.com/wedgwoodview";"Wedgwood";"Northeast";"news, events, human interest, criminal activity, shopping";"commercial";"twitter";"NE";"Seattle";"WA";;;;;;;;;;;;;;
"Wedgwood View";"http://www.facebook.com/pages/Wedgwood-View/331236446338";"Wedgwood";"Northeast";"news, events, human interest, criminal activity, shopping";"commercial";"facebook page";"NE";"Seattle";"WA";;;;;;;;;;;;;;
"Wedgwood View";"http://www.wedgwoodview.com/";"Wedgwood";"Northeast";"news, events, human interest, criminal activity, shopping";"commercial";"blog";"NE";"Seattle";"WA";;;;;;;;;;;;;;
"Blue Ridge Club";"http://www.blueridgeseattle.com/index.php";"Blue Ridge";"Northwest";"homeowners club";"community";"website";;"Seattle";"WA";;;;;;;;;;;;;;
"Broadview Community Council";"http://groups.google.com/group/broadview-community-council";"Broadview";"Northwest";"community council";"community";"email list";"SW";"Seattle";"WA";;;;;;;;;;;;;;
"Broadview Community Council";"http://www.broadviewseattle.org/";"Broadview";"Northwest";"community council";"community";"blog";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Friends of Green Lake";"http://www.friendsofgreenlake.org/";"Green Lake";"Northwest";"neighborhood group";"community";"website";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Greater Greenwood Bi-Ped Safety Coalition";"http://bipedsafety.org/";"Greenwood";"Northwest";"community group";"community";"website";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Greenlake Community Council";"http://www.greenlakecommunitycouncil.org/";"Green Lake";"Northwest";"community council";"community";"website";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Greenlake Community Wiki";"http://greenlake.wetpaint.com/";"Green Lake";"Northwest";"events, for sale, services";"community";"wiki";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Greenwood Aurora Involved Neighbors";"http://www.gainseattle.com/";"Greenwood";"Northwest";"neighborhood association";"community";"website";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Greenwood Blog";"http://www.greenwoodblog.com/";"Greenwood";"Northwest";"news, events";"commercial";"blog";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Greenwood Community Council";"http://www.greenwoodcommunitycouncil.org/about/";"Greenwood";"Northwest";"community council";"community";"website";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Greenwood Community Council Announcements";"http://groups.yahoo.com/group/Greenwood_News/";"Greenwood";"Northwest";"community council";"community";"email list";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Greenwood Community Council Discussion";"http://groups.yahoo.com/group/greenwood-discussion/";"Greenwood";"Northwest";"community council";"community";"email list";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Greenwood Phinney Chamber of Commerce";"http://www.greenwood-phinney.com/";"Greenwood";"Northwest";"chamber of commerce";"community";"website";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"KOMO Communities - Ballard";"http://ballard.komonews.com/";"Ballard";"Northwest";"news, events, human interest, criminal activity, shopping";"commercial";"blog";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"KOMO Communities - Green Lake";"http://greenlake.komonews.com";"Green Lake";"Northwest";"news, events, human interest, criminal activity, shopping";"commercial";"blog";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"KOMO Communities - Greenwood-Phinney";"http://greenwood-phinney.komonews.com";"Greenwood-Phinney";"Northwest";"news, events, human interest, criminal activity, shopping";"commercial";"blog";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"KOMO Communities - Wallingford";"http://wallingford.komonews.com";"Wallingford";"Northwest";"news, events, human interest, criminal activity, shopping";"commercial";"blog";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Licton Springs Neighborhood ";"http://www.lictonsprings.org/";"Licton Springs";"Northwest";"neighborhood council";"community";"website";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"My Greenlake Blog";"http://www.mygreenlake.com/";"Green Lake";"Northwest";"news, events, food";"commercial";"blog";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"MyWallingford";"http://mywallingford.com";"Wallingford";"Northwest";"news, events, human interest, criminal activity, shopping";"commercial";"blog";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"MyWallingford";"http://twitter.com/mywallingford";"Wallingford";"Northwest";"news, events, human interest, criminal activity, shopping";"commercial";"twitter";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"MyWallingford";"http://www.facebook.com/MyWallingford?ref=ts";"Wallingford";"Northwest";"news, events, human interest, criminal activity, shopping";"commercial";"facebook page";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Northwest District Council";"http://www.nwdistrictcouncil.org/";"Northwest";"Northwest";"district council";"community";"website";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Phinney Neighborhood Association";"http://phinneycenter.blogspot.com/";"Phinney Ridge";"Northwest";"association news and events";"community";"blog";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Phinney Neighborhood Association";"http://www.facebook.com/group.php?gid=42314991794";"Phinney Ridge";"Northwest";"neighborhood association";"community";"facebook page";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Phinney Neighborhood Association";"http://www.phinneycenter.org/";"Phinney Ridge";"Northwest";"neighborhood association";"community";"website";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Phinney Ridge Ecovillage";"http://www.phinneyecovillage.net/";"Phinney Ridge";"Northwest";"community group";"community";"website";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"PhinneyWood";"http://www.phinneywood.com/";"Phinney Ridge";"Northwest";"news, events, food, shopping";"commercial";"blog";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Solid Ground";"http://www.facebook.com/pages/Solid-Ground/20665239656";"Wallingford";"Northwest";"nonprofit";"community";"facebook page";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Solid Ground";"http://www.solid-ground.org/Pages/Default.aspx";"Wallingford";"Northwest";"nonprofit";"community";"website";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Sustainable Greenwood/Phinney";"http://web.me.com/annecann1/iWeb/Site/Home.html";"Phinney Ridge";"Northwest";"susainability";"community";"website";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Vision Greenwood Park Seattle";"http://www.facebook.com/pages/Vision-Greenwood-Park-Seattle/165995713450762";"Greenwood";"Northwest";"park issues, events, neighborhood-issues, neighborhood-planning";"community";"facebook page";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Wallingford Chamber of Commerce";"http://wallingfordchamber.org/";"Wallingford";"Northwest";"chamber of commerce";"community";"website";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Wallingford Community Council";"http://council.iactivesite.com/";"Wallingford";"Northwest";"community council";"community";"website";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Wallingford Seattle Blog";"http://twitter.com/wallingford";"Wallingford";"Northwest";"news, events, advice";"community";"twitter";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Wallingford Seattle Blog";"http://wallingfordseattle.tumblr.com/";"Wallingford";"Northwest";"news, events, advice";"community";"blog";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Wallingford.org";"http://www.wallingford.org/";"Wallingford";"Northwest";"neighborhood group";"community";"website";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Wallyhood - Wallingford Seattle Blog";"http://twitter.com/wallyhood";"Wallingford";"Northwest";"news, events";"commercial";"twitter";"NW ";"Seattle";"WA";;;;;;;;;;;;;;
"Wallyhood - Wallingford Seattle Blog";"http://www.wallyhood.org/";"Wallingford";"Northwest";"news, events";"commercial";"blog";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Bike Works!";"http://www.bikeworks.org/";"Columbia City";"Southeast";"community group";;"website";"SE";"Seattle";"WA";;;;;;;;;;;;;;
"Columbia Citizens";"http://columbiacitizens.net/";"Columbia City";"Southeast";"neighborhood community site; buying/selling, restaurants, favorite places, etc.";"community";"wiki";"SE";"Seattle";"WA";;;;;;;;;;;;;;
"Columbia Citizens";"http://twitter.com/CCitizens";"Columbia City";"Southeast";"twitter for Columbia Citizens";"community";"twitter";"SE";"Seattle";"WA";;;;;;;;;;;;;;
"Columbia Citizens";"http://www.facebook.com/pages/Columbia-Citizens/48558627705";"Columbia City";"Southeast";"neighborhood community site; buying/selling, restaurants, favorite places, etc.";"community";"facebook page";"SE";"Seattle";"WA";;;;;;;;;;;;;;
"Columbia City Blog";"http://www.columbiacityblog.com/";"Columbia City";"Southeast";"news, events, food, shopping";"commercial";"blog";"SE";"Seattle";"WA";;;;;;;;;;;;;;
"Columbia City, Seattle";"http://www.columbiacityseattle.com/";"Columbia City";"Southeast";"business association";"community";"website";"SE";"Seattle";"WA";;;;;;;;;;;;;;
"Columbia City: Rainier Valley";"http://www.rainiervalley.org/";"Rainier Valley";"Southeast";"portal";"community";"website";"SE";"Seattle";"WA";;;;;;;;;;;;;;
"Friends of Seward Park";"http://www.sewardpark.org/";"Seward Park";"Southeast";"park issues";"community";"website";"SE";"Seattle";"WA";;;;;;;;;;;;;;
"Hillman City Neighborhood Alliance";"http://www.hillmancity.org/";"Hillman City";"Southeast";"neighborhood alliance";;"website";"SE";"Seattle";"WA";;;;;;;;;;;;;;
"KOMO Communities - Columbia City";"http://columbiacity.komonews.com";"Columbia City";"Southeast";"news, events, human interest, criminal activity, shopping";"commercial";"blog";"SE";"Seattle";"WA";;;;;;;;;;;;;;
"KOMO Communities - Rainier Valley";"http://rainiervalley.komonews.com";"Rainier Valley";"Southeast";"news, events, human interest, criminal activity, food, shopping";"commercial";"blog";"SE";"Seattle";"WA";;;;;;;;;;;;;;
"MLK Business Association";"http://www.mlkba.org/";"Rainier Valley";"Southeast";"business association";"community";"website";"SE";"Seattle";"WA";;;;;;;;;;;;;;
"Mount Baker Community Club";"http://groups.yahoo.com/group/MBCCCommunityNotices/";"Mount Baker";"Southeast";"community club";;"email list";"SE";"Seattle";"WA";;;;;;;;;;;;;;
"Mount Baker Neighborhood ";"http://www.mountbaker.org/index.php";"Mount Baker";"Southeast";"community group";"community";"website";"SE";"Seattle";"WA";;;;;;;;;;;;;;
"New Holly Neighborhood Campus";"http://www.newholly.org/";"Rainier Valley";"Southeast";"services portal";"community";"website";"SE";"Seattle";"WA";;;;;;;;;;;;;;
"New Rainier Vista";"http://newrainiervista.com/public/about/";"Rainier Beach";"Southeast";"news, events, human interest, criminal activity, shopping";"community";"blog";"SE";"Seattle";"WA";;;;;;;;;;;;;;
"Othello Neighborhood Association";"http://othello.talkspot.com/";"Othello";"Southeast";"neighborhood association";"community";"website";"SE";"Seattle";"WA";;;;;;;;;;;;;;
"Rainier Beach Community Empowerment Coalition";"http://twitter.com/rainierbeach";"Rainier Beach";"Southeast";"news, events, issues";"community";"twitter";"SE";"Seattle";"WA";;;;;;;;;;;;;;
"Rainier Beach Community Empowerment Coalition";"http://www.rbcoalition.org/";"Rainier Beach";"Southeast";"news, events, issues";"community";"blog";"SE";"Seattle";"WA";;;;;;;;;;;;;;
"Rainier Valley Historical Society";"http://www.rainiervalleyhistory.org/";"Rainier Valley";"Southeast";"historical society";"community";"website";"SE";"Seattle";"WA";;;;;;;;;;;;;;
"Rainier Valley Post";"http://www.rainiervalleypost.com/";"Rainier Valley";"Southeast";"news, events, 911 blotter, food, reviews";"commercial";"blog";"SE";"Seattle";"WA";;;;;;;;;;;;;;
"Seattle's Othello Neighborhood";"http://othelloneighborhood.org/default.aspx";"Othello";"Southeast";"shared community group website";"community";"website";"SE";"Seattle";"WA";;;;;;;;;;;;;;
"Southeast District Council";"http://sedcseattle.wordpress.com/";"Rainier Valley, Columbia City, Hillman City, Othello, Rainier Beach, Mount Baker";"Southeast";"district council";"community";"blog";"SE";"Seattle";"WA";;;;;;;;;;;;;;
"Southend Seattle";"http://southendseattle.com";"Beacon Hill, Mount Baker, Genesee, Georgetown, Columbia City, Hillman City, Lakewood-Seward Park, Rainier Beach, Bryn Mawr- Skyway, Lakeridge, South Park, Allentown";"Southeast, Greater Duwamish";"news, events, human interest";"community";"blog";"SE, SW";"Seattle";"WA";;;;;;;;;;;;;;
"Admiral Neighborhood Association";"http://groups.yahoo.com/group/AdmiralNeighborhood/";"Admiral (West Seattle)";"Southwest";"neighborhood association";"community";"email list";"SW";"Seattle";"WA";;;;;;;;;;;;;;
"Alki News";"http://groups.yahoo.com/group/alkibeachcommunity/";"Alki";"Southwest";"members of the Alki Community Council and residents of the Alki Beach neighborhood";"community";"email list";"SW";"Seattle";"WA";;;;;;;;;;;;;;
"Alki News/Alki Community Council";"http://alkinews.wordpress.com/";"Alki";"Southwest";"news, council meetings";"community";"blog";"SW";"Seattle";"WA";;;;;;;;;;;;;;
"ArtsWest";"http://www.artswest.org/?q=node/28";"West Seattle";"Southwest";"arts";"community";"website";"SW";"Seattle";"WA";;;;;;;;;;;;;;
"Beach Drive Blog";"http://www.mortgageporter.com/beach_drive/";"Alki";"Southwest";"news, home sales, crime";"commercial";"blog";"SW";"Seattle";"WA";;;;;;;;;;;;;;
"Fauntleroy Community Association";"http://fauntleroy.net/";"Fauntleroy";"Southwest";"community association";"community";"website";"SW";"Seattle";"WA";;;;;;;;;;;;;;
"Fauntleroy Community Association";"http://www.facebook.com/pages/Seattle-WA/Fauntleroy-Community-Association/63181596775?v=wall&viewas=1779772562&ref=ts";"Fauntleroy";"Southwest";"community assocation";"community";"facebook page";"SW";"Seattle";"WA";;;;;;;;;;;;;;
"Genesee-Schmitz Neighborhood Council";"http://genesee-schmitz.org/";"Genesee-Schmitz";"Southwest";"neighborhood council";"community";"blog";"SW";"Seattle";"WA";;;;;;;;;;;;;;
"Junction Neighborhood Organization";"http://www.wsjuno.com/";"Junction";"Southwest";"events, meetings";"community";"blog";"W";"Seattle";"WA";;;;;;;;;;;;;;
"KOMO Communities - West Seattle";"http://westseattle.komonews.com";"West Seattle";"Southwest";"news, events, human interest, criminal activity, shopping";"commercial";"blog";"SW";"Seattle";"WA";;;;;;;;;;;;;;
"Morgan Junction Community Association";"http://morganjunction.org/";"Morgan Junction";"Southwest";"community association";"community";"website";"SW";"Seattle";"WA";;;;;;;;;;;;;;
"Official Website of the High Point Neighborhood";"http://www.highpointneighborhood.org/";"High Point";"Southwest";"neighborhood association";"community";"website";"SW";"Seattle";"WA";;;;;;;;;;;;;;
"Senior Center West Seattle";"http://www.sc-ws.org/julaug09/";"West Seattle";"Southwest";"senior center";"community";"website";"SW";"Seattle";"WA";;;;;;;;;;;;;;
"Senior Services";"http://www.seniorservices.org/";"West Seattle";"Southwest";"senior sevices";"community";"website";"SW";"Seattle";"WA";;;;;;;;;;;;;;
"The Junction: Downtown West Seattle";"http://www.wsjunction.com/";"Junction";"Southwest";"neighborhood association";"community";"website";"W";"Seattle";"WA";;;;;;;;;;;;;;
"West Seattle Chamber of Commerce";"http://www.wschamber.com/";"West Seattle";"Southwest";"chamber of commerce";"community";"website";"SW";"Seattle";"WA";;;;;;;;;;;;;;
"White Center Technology Programs";"http://technology.program.googlepages.com/";"White Center";"Southwest";"tech resources";"community";"website";"SW";"Seattle";"WA";;;;;;;;;;;;;;
"Sustainable West Seattle";"http://www.sustainablewestseattle.org/";"West Seattle";"Southwest, Delridge";"events, issues, food, neighborhood planning";"community";"blog";"SW";"Seattle";"WA";;;;;;;;;;;;;;
"West Seattle Blog";"http://twitter.com/westseattleblog";"West Seattle";"Southwest, Delridge";"news, events, human interest";"commercial";"twitter";"SW";"Seattle";"WA";;;;;;;;;;;;;;
"West Seattle Blog";"http://westseattleblog.com/";"West Seattle";"Southwest, Delridge";"news, events, human interest";"commercial";"blog";"SW";"Seattle";"WA";;;;;;;;;;;;;;
"West Seattle Blog";"http://www.facebook.com/westseattleblog";"West Seattle";"Southwest, Delridge";"profile page for West Seattle Blog";"commercial";"facebook page";"SW";"Seattle";"WA";;;;;;;;;;;;;;
"West Seattle Herald";"http://twitter.com/westseattleher";"West Seattle";"Southwest, Delridge";"online newspaper";"commercial";"twitter";"SW";"Seattle";"WA";;;;;;;;;;;;;;
"West Seattle Herald";"http://www.facebook.com/wsherald";"West Seattle";"Southwest, Delridge";"online newspaper";"commercial";"facebook page";"SW";"Seattle";"WA";;;;;;;;;;;;;;
"West Seattle Herald";"http://www.westseattleherald.com/";"West Seattle";"Southwest, Delridge";"online newspaper";"commercial";"website";"SW";"Seattle";"WA";;;;;;;;;;;;;;
