"name","url","notes","email","phone","contact","type_community","civic_taxonomy","district","neighborhood","categories","ownership","ethnicity","size_organization","address","zipcode","source"
"Eastlake Community Council","http://www.eastlakeseattle.org/","Make Eastlake a better place through community engagement","president@eastlakeseattle.org; info@eastlakeseattle.org; cleman@oo.net","206-322-5463","Chris Leman","Community council","Neighborhood","Lake Union","Eastlake","Advocacy","Community group",,0,"117 E Louisa",98102,"DON"
"Eastlake Community Land Trust",,"Promote affordable housing, needed community services, and open space through preservation and moderate new development","paul.kari@mac.com","206-260-1912","Paul Hanson","Community council","Neighborhood","Lake Union","Eastlake","Advocacy","Community group",,0,,98102,"DPR"
"El Centro de la Raza","http://elcentrodelaraza.org/","Support the Latino community with programs and services and advocate for social justice","eortega@elcentrodelaraza.org","206-957-4634","Estela Ortega","RSJ","Education; Emergency; Social justice","Citywide","South Seattle","Service provider","Nonprofit","Latino",50,"2524 16th Ave S",98144,"DON"
"Elderfriends","http://www.elderfriends.org/","Support elders through interactions with younger volunteers","elderfriends@elderhealth.org","206-224-3790",,"Social justice","Seniors","Citywide",,"Volunteerism","Nonprofit",,,"800 Jefferson St",98104,"DPR"
"Environmental Coalition of South Seattle","http://www.ecoss.org","Promotes environmentally responsible community through cleaning and redevelopment","kevin@ecoss.org; ecoss@ecoss.org","206-767-0432","Kevin Burrell","Environment","Neighborhood","Citywide","South Seattle","Service provider","Community group",,13,"8201 10th Avenue South #3",98108,"DON"
"Environmental Outreach and Stewardship Alliance","http://eosalliance.org/","Provide services for sustainable jobs and living as well as leadership and education","exec_director@nweec.org","206-762-1976 ","Erick McWayne","Environment","Resources","Citywide",,"Service provider","Nonprofit",,5,"650 S Orcas St Suite 220",98108,"DPR"
"Eritrean Association of Greater Seattle","http://www.eritreanassociation.com/","Foster community and preserve cultural heritage through support and services","eritreanassoc@comcast.net","206-548-6385","Mehari Asrat","RSJ","Education; Seniors","Greater Duwamish","Beacon Hill","Service provider","Community group","Eritrean",0,"1528 Valentine Pl S",98144,"DON"
"Eritrean Community Association in Seattle and Vicinity",,"Preserve culture through teaching Eritrean children language and culture, tutor students, and sponsor new refugees",,"206-323-6627",,"RSJ","Education","Central",,"Service provider","Community group","Eritrean",0,"2402 E Spruce St",98122,"DPR"
"Eritrean Muslim Association in North America - Seattle Chapter","http://emanaus.org/#","Support the Muslim community in the Seattle area","hmussa75@yahoo.com","206-363-3405","Hana Mussa","RSJ","Community","North","Lake City","Advocacy","Nonprofit","Eritrean",,,98125,"DON"
"Eritrean Orthodox Church/HOPE Eritrean Social Services",,"Provide services and support for the Eritrean community","segalweb@aol.com","425-503-5208","Tsegay Berhe","RSJ","Education","North","Lake City","Service provider","Community group","Eritrean",,,98125,"DON"
"ESL Program - St. James Cathedral","http://www.stjames-cathedral.org/esl/","Help adult refugees & immigrants learn English & become US citizens","ckoehler@stjames-cathedral.org; ESL@stjames-cathedral.org","206-382-4511","Chris Koehler","RSJ","Education; Immigration","Citywide",,"Education","Nonprofit",,10,"804 Ninth Ave",98104,"DON"
"Ethiopian Community Mutual Association","http://www.ecmaseattle.org/","Support the ESL community with classes, referrals for employment and social services, legal advice, and counseling for families","ecma@qwestoffice.net","206-325-0304",,"RSJ","Education; Employment","East","Capitol Hill","Service provider","Community group","Ethiopian",,"1812 East Madison Street Suite 40",98122,"DPR"
"Ethnic Heritage Council of Seattle","http://www.ethnicheritagecouncil.org/","Preserve and promote ethnic and cultural traditions, foster mutual understanding, enrich lives and celebrate heritage","ehc@seattle.gov","206-443-1410",,"RSJ","Community","Citywide",,"Service provider","Nonprofit",,3,"305 Harrison St Suite 304",98109,"DPR"
"Ezra Bessaroth congregation","http://www.ezrabessaroth.net/index.html","Provides Jewish services and community events","office@ezrabessaroth.net  ","206-722-5500 ",,"RSJ","Community","Southeast","Seward Park","Service provider","Community group",,,"5217 S Brandon St",98118,"DPR"
"Fairmount Community Association",,"Address community issues","smeeks50@comcast.net","206-938-1007","Sharonn Meeks","Community council","Neighborhood","Southwest","Fairmount ","Advocacy","Community group",,0,"4745 37th Ave SW",98126,"DON"
"Family & Social Services - Neighborhood House ","http://www.nhwa.org/lookinside/program.php?program=Family+and+Social+Services","Offer support, encouragement and resources to families with the goal of helping them build self-sufficiency and meaningful involvement in their communities","nathanb@nhwa.org","206-461-4522","Nathan Buck","RSJ","Emergency; Immigration; Seniors","Citywide","Greenbridge, High Point, NewHolly, Rainier Vista, Yesler Terrace","Service provider","Nonprofit",,20,"905 Spruce St Suite 200",98104,"DPR"
"Family Works Resource Center","http://familyworksseattle.org/","Nourishes and strengthens individuals and families by connecting people with food bank and resource center","jakew@familyworksseattle.org","206-694-6727","Jake Weber","Youth & family","Emergency; Education; Employment","Northeast","University","Service provider","Nonprofit",,8,"1501 North 45th Street",98103,"DON"
"Fauntleroy Community Association","http://www.fauntleroy.net/","Discuss and solve community issues including transportation and environment","BruceButterfield@PNWRealty.com","206-932-2400","Bruce Butterfield","Community council","Neighborhood","Southwest","Alki","Advocacy","Community group",,0,"PO Box 46343",98146,"DPR"
"Feet First","http://feetfirst.info/","Promotes walkable communities","lisa@feetfirst.info; info@feetfirst.info","206-652-2310","Lisa Quinn","Environment","Health","Citywide",,"Advocacy","Nonprofit",,5,"314 First Ave S",98104,"DPR"
"Filipino Community Center","http://fcseattle.org/","Promote cultural diversity, ethnic pride, unity, and educational and socio-economic empowerment among Filipino Americans","Website","206-722-9372","Alma Kern","RSJ","Education; Seniors","Southeast","Rainier Valley","Service provider","Nonprofit","Filipino",,"5740 Martin Luther King Jr. Way",98118,"DON"
"Filipino Youth Activities",,"Provides social services and support for multicultural youth","FYA-PINOY@msn.com; fya@fya-pinoy.org","206-461-4870",,"Youth & family","Education","Citywide",,"Service provider","Community group","Filipino",,"810 18th Ave RM 108 ",98122,"DPR"
"First Hill Community Council","http://www.firsthill.org/scheduleofevents.html","Address community issues in First Hill","vltdg@yahoo.com","206-726-8439","Debby Gibby","Community council","Neighborhood","East","First Hill","Advocacy","Community group",,0,"1222 Summit Avenue #104",98101,"DON"
"First Hill Improvement Association","http://www.firsthill.org/","Unite businesses and community members to improve First Hill","michael.j.gray@comcast.net; firsthill@comcast.net","206-925-0969; 206-310-6632","Michael Gray; Jim Erickson","Community council","Neighborhood","East","Capitol Hill","Service provider","Community group",,0,"1425 Harvard Suite 281",98122,"DON"
"Floating Homes Association","http://www.seattlefloatinghomes.org/","Support the floating home community through education, advocacy, and stewardship","melissa_ahlers@hotmail.com","206-325-1132","Melissa Ahlers","Community council","Marine","Lake Union","SLU","Advocacy","Community group",,1,"2329 Fairview E",98102,"DPR"
"Francis Martinez Community Service Center - El Centro de la Raza","www.elcentrodelaraza.com/WhatWeDo/hes.htm","Provide diverse, bilingual human and emergency services to combat homelessness, hunger, and illness","graciela@elcentrodelaraza.org","206-957-4634","Graciela Gonzalez","RSJ","Homelessness","Greater Duwamish","Beacon Hill","Service provider","Nonprofit","Latino",,"2524 16th Ave S",98144,"DON"
"Freeway Park Neighborhood Association","http://freewayparkassociation.org/","Mobilize resources and community members to ensure the widespread enjoyment and continued maintenance of Jim Ellis Freeway Park to enrich the community and surrounding neighborhoods","info@freewayparkassociation.org; mwevansconsult@cs.com","206-613-3214","David Brewster","Environment","Parks","East","First Hill","Service provider","Community group",,0,"900 University Street",98101,"DPR"
"Fremont Arts Council","http://fremontartscouncil.org/","Builds community through art and events, including outreach to youth and families","artsmanager@fremontartscouncil.org","206-547-7440",,"Arts","Support","Lake Union","Fremont","Service provider","Community group",,0,"3940 Fremont Ave N",98103,"DPR"
"Fremont Chamber of Commerce","http://www.fremontseattle.com/coc.html","Strengthens business climate and improves quality of life ","director@fremont.com","206-632-1500","Jessica Vets ","Business","Neighborhood","Lake Union","Fremont","Advocacy","Community group",,0,"908 N 34th St",98103,"DPR"
"Fremont Historical Society","http://www.fremonthistory.org/","Enrich the community through historical education and events","fremonthistory@comcast.net",,,"Social justice","History","Lake Union","Fremont","Service provider","Community group",,0,,98103,"DPR"
"Fremont Neighborhood Council","http://www.scn.org/fnc/","Discuss community issues affecting Fremont","fnc@scn.org; rrselin@aol.com","206-547-9697","Dic Selin","Community council","Neighborhood","Lake Union","Fremont","Advocacy","Community group",,0,"3518 Fremont Ave N #111",98103,"DON"
"Fremont Universe","http://www.fremontuniverse.com/","Provide community news and information","tips@fremontuniverse.com",,,"Media","Neighborhood","Lake Union","Fremont","Information","Media",,,,98103,"DOIT"
"Friends of 9th Ave NW Park",,"Support park development and use","ninthavenwpark@gmail.com; ajbsmith@comcast.net","206-783-9497","Alyssa Smith","Environment","Parks","Ballard",,"Advocacy","Community group",,0,"6413 Seaview Ave NW",98108,"DON"
"Friends of Bergen Place Park","http://www.friendsofbergenplace.org/","Preserve and improve Bergen Place Park","v.sangrey@comcast.net; info@friendsofbergenplace.org","206-442-6544","Victoria Sangrey-Hunter","Environment","Parks","Ballard",,"Service provider","Community group","Norwegian",0,"8302 25th Ave NW",98117,"DON"
"Friends of Brooklyn",,"Address community issues","brianramey@comcast.net","206-271-4744","Brian Ramey","Community council","Neighborhood","Northeast",,"Advocacy","Community group",,0,"2226 Eastlake Ave E #143",98102,"DON"
"Friends of Burke Gilman Trail","http://www.burkegilmantrail.org/","Support the completion of the Burke- Gilman Trail west to Golden Gardens Park","jmacuiba@comcast.net","206-781-1878","Jennifer Macuiba","Environment","Parks","Ballard",,"Advocacy","Community group",,0,"3041 NW 72nd St",98117,"DON"
"Friends of Discovery Park","http://www.friendsdiscoverypark.org/","Preserve and defend the integrity of Discovery Park","FriendsDiscoveryPark@gmail.com",,,"Environment","Parks","Magnolia/Queen Anne","Magnolia","Service provider","Community group",,0,"PO Box 99662",98139,"DPR"
"Friends of Fremont Peak Park","http://fremontpeakpark.org/","Serve as a steward of Fremont Peak Park","info@fremontpeakpark.org",,,"Environment","Parks","Lake Union","Fremont","Service provider","Community group",,0,,98103,"DPR"
"Friends of Gas Works Park","http://www.fogwp.org/","Foster understanding and appreciation of Gaswords Park and serve as its steward","info@fogwp.org",,,"Environment","Parks","Lake Union","Wallingford","Service provider","Community group",,0,"PO Box 95345",98145,"DPR"
"Friends of Green Lake","http://www.friendsofgreenlake.org/","Secure a healthy Green Lake for wildlife and recreation for today and tomorrow","friendso@friendsofgreenlake.org; bonsaicat@yahoo.com",,,"Environment","Parks","Northwest","Green Lake","Advocacy","Community group",,0,"PO Box 30544",98113,"DON"
"Friends of Pritchard Beach Park","http://www.scn.org/pritchardpark/","Preserve and protect the land and wildlife of Pritchard Beach Park","fopbp@slingshot.com","206-725-4868","Valerie Rose","Environment","Parks","Southeast","Rainier Beach","Service provider","Community group",,0,,98118,"DPR"
"Friends of Queen Anne",,"Support smart policy choices in Queen Anne for the neighborhood and environment","norwbach1@yahoo.com","206-283-4350","Doug Lorentzen","Environment","Neighborhood","Magnolia/Queen Anne","Queen Anne","Advocacy","Community group",,0,,98109,"DPR"
"Friends of Ravenna Playground","http://www.ravennaplayground.org","Revitalize Ravenna Playground","rbca@scn.org","206-527-4960","Lauren McGuire","Environment","Neighborhood","Northeast","Ravenna","Service provider","Community group",,0,"4616 25th Ave NE, PMB 179",98105,"DPR"
"Friends of Sandel Park",,"Preserve Sandel Park","cjgwinn@msn.com",,"Julie Gwinn","Environment","Parks","Northwest",,"Advocacy","Community group",,0,"9056 1st Ave NW",98117,"DON"
"Friends of Seattle's Olmsted Parks","http://www.seattle.gov/friendsofolmstedparks/","Preserve Seattle's unique Olmsted landscape heritage and  raise awareness of the Olmsted philosophy of providing open space for all people","friends@seattleolmsted.org; brooks@brookskolbllc.com","206-324-0858","Brooks Kolb","Environment","Parks","Citywide",,"Advocacy","Nonprofit",,0,"PO Box 9884",98109,"DPR"
"Friends of the Conservatory","http://volunteerparkconservatory.org/","Advocate for the Volunteer Park Conservatory and its collections and encourage public participation and education","foc@volunteerparkconservatory.org","206-322-4112",,"Environment","Parks","East","Capitol Hill","Advocacy","Community group",,0,"1402 E Galer St",98112,"DPR"
"Friends of the Junction",,"Develop and support a vibrant West Seattle Junction",,"206-932-2619","Denise Lathrop","Community council","Neighborhood","Southwest","Junction","Advocacy","Community group",,0,,98116,"DPR"
"Fuhrman/Boyer Neighborhood Improvement Association","http://www.fabnia.org/","Address community issues including traffic and land use","apreston@kerrygroup.com","206-328-4135","Anne Preston","Community council","Neighborhood","Northeast",,"Advocacy","Community group",,0,"2519 Boyer Ave E",98102,"DON"
"Gansango Music & Dance: African Dance","http://www.gansango.com/index.php","Provide classes and events in African dance and music to celebrate youth culture","gansango@yahoo.com","206-417-4679","Etienne Cakpo","Youth & family","Arts; RSJ","Citywide",,"Service provider","Nonprofit","African",9,"2204 NE 135thSt",98125,"DON"
"Garfield Community Council","http://www.garfieldcommunity.org/index2.html","Foster neighborhood improvement, community based activities and crime prevention","marcia@msheckler.com",,"Marcia Sheckler","Community council","Neighborhood","Central","Garfield","Service provider","Community group",,0,,98122,"DPR"
"Genesee Merchants Association",,"Support local business and community","ghaynes30@hotmail.com","206-722-6947","Grover Haynes","Business","Neighborhood","Southeast","Genesee","Advocacy","Community group",,0,"4610 41st Ave S",98118,"DPR"
"Genesee Park Neighbors Association",,"Address community issues","diana.vinh@kingcounty.gov","206-722-3103","Diana Vinh","Community council","Neighborhood","Southeast","Genesee","Advocacy","Community group",,0,"4437 41st Ave S",98118,"DON"
"Georgetown Community Council","http://georgetownneighborhood.com/","Improve the quality of life for Georgetown residents and visitors","directors@georgetownneighborhood.com; holly.krejci@gmail.com","206-762-2819","Holly Krejci","Community council","Neighborhood","Greater Duwamish","Georgetown","Advocacy","Community group",,0,"PO Box 80021",98108,"DON"
"Georgetown Merchants Association","http://www.georgetownmerchants.org/","Highlight diverse creative enterprises in the industrial/arts corridor to inspire historical preservation","kathy@georgetownmerchants.com","206-763-8100; 206-499-3505","Kathy Nyland","Business","Neighborhood","Greater Duwamish","Georgetown","Information","Community group",,0,"5633 Airport Way S",98108,"DON"
"Giant Magnet","http://www.giantmagnet.org/","Present global performance events to engage people of all ages","pr@giantmagnet.org","206-386-9156","Katherine Kurlon","Arts","Support","Citywide",,"Service provider","Nonprofit",,6,"305 Harrison Street",98109,"DON"
"Girl Scouts of Western Washington","http://www.girlscoutsww.org/aboutus/locations/Seattle","Provide community, education, and programs for girls ","Erines@girlscoutsww.org","206-633-5600","Erin Stockdill","Youth & family","Women","Citywide",,"Service provider","Nonprofit",,"National","601 Valley Street",98109,"DON"
"Golden Gardens Community Association",,"Organize community events and address neighborhood issues",,"206-949-9055","Julie Van Wallendael","Community council","Neighborhood","Ballard","Blue Ridge","Service provider","Community group",,0,,98117,"DPR"
"Gondar Mutual Association of Seattle",,"Provide ESL and citizenship classes for Ethiopian/Gondar community",,"206-762-0774",,"RSJ","Education; Immigration","East","Yesler Terrace","Education","Community group","Ethiopian",0,"1223 E Spruce St",98122,"DPR"
"Gray Panthers","http://www.scn.org/graypanthersofseattle/; http://www.graypanthers.org/","Work for justice and peace through uniting generations","graypanthers@qwest.net","206-675-8859",,"Social justice","Seniors","Ballard","Wallingford","Volunteerism","Nonprofit",,"National","4649 Sunnyside Ave N",98103,"DPR"
"Greater Duwamish District Council","http://www.cityofseattle.net/neighborhoodcouncil/members.htm","Advise the city on budget issues and provide a forum for community discussion","judew@comcast.net","206-329-8801","Judith Edwards","Community council","District","Greater Duwamish",,"Advocacy","Community group",,0,"2903 21st Ave S",98144,"DON"
"Greater Duwamish Neighborhood Planning","http://www.cityofseattle.net/Neighborhoods/npi/stewards.htm","Provide neighborhood upkeep and improvement","somerset@qwest.net","206-587-4036","David Huchthausen","Community council","Planning","Greater Duwamish",,"Service provider","Community group",,0,,98108,"DPR"
"Greater Greenwood Bi/Ped Safety Coalition","http://www.bipedsafety.org/","Advocate for the safe mobility of pedestrians, bicyclists, and transit riders","katemartin@comcast.net","206-783-6538",,"Community council","Public safety","Northwest","Greenwood","Advocacy","Community group",,0,,98133,"DOIT"
"Greater Lake City Community Council",,"Provide neighborhood upkeep and improvement","lccommunityCouncil@gmail.com; cklinker@seattleschools.org","206-367-4635","Cheryl Klinker","Community council","Neighborhood","North","Lake City","Service provider","Community group",,,"12036 35th Ave NE",98125,"DON"
"Greater Madison Valley Community Council","http://madisonvalley.org/","Support community through meetings and events","president@madisonvalley.org",,"Peter Triandafilou","Community council","Neighborhood","Central","Madison Valley","Service provider","Community group",,0,"PO Box 22278",98122,"DPR"
"Greater Seattle Business Association","http://www.thegsba.org/","Combine business development, leadership and social action to expand economic opportunities for the LGBT community","louise@thegsba.org","206-363-9188","Louise Chermin","Business","LGBT","Citywide",,"Service provider","Nonprofit",,6,"400 E Pine St  Ste 322",98122,"DON"
"Greater University Chamber of Commerce","http://udistrictchamber.org/","Enchance a healthy business environment in harmony with unique university and residential communities","director@udistrictchamber.org; info@udistrictchamber.org","206-547-4417 ","Teresa Lord Hugel","Business","Neighborhood","Northeast","University","Advocacy","Community group",,3,"4710 University Way NE Suite 114",98105,"DON"
"Green Lake Community Council","http://www.greenlakecommunitycouncil.org/","Foster community and address local issues","admin@greenlakecommunitycouncil.org; mike@michaelcornell.com",,"Michael Cornell","Community council","Neighborhood","Northwest","Green Lake","Advocacy","Community group",,0,,98103,"DPR"
"Greenwood Aurora Involved Neighbors (GAIN)","http://www.gainseattle.com/","Enhance community and decrease crime through involved neighbors","gaingroup@gmail.com",,,"Community council","Neighborhood","Northwest","Greenwood","Advocacy","Community group",,0,,98113,"DPR"
"Greenwood Community Council","http://greenwoodcommunitycouncil.org/","Address community issues in the Greenwood area"," info@greenwoodcommunitycouncil.org; Greenwood-discussion@yahoogroups.com","206-634-1024","Marty Spiegel","Community council","Neighborhood","Northwest","Greenwood","Advocacy","Community group",,0,,98113,"DON"
"Greenwood Senior Center","http://www.greenwoodseniorcenter.org/","Provides social services and activities for seniors","info@greenwoodseniorcenter.org","206-297-0875",,"Social justice","Seniors","Northwest","Greenwood","Service provider","Community group",,5,"525 N. 85th St",98103,"DPR"
"Greenwood-Phinnney Chamber of Commerce","http://www.greenwood-phinney.com/","Stimulate growth and development of thriving business community","info@greenwood-phinney.com; jim.bennett@zoo.org","206-789-1148","Jim Bennett","Business","Neighborhood","Northwest","Greenwood","Advocacy","Community group",,0,"8515 Greenwood Ave N; PO Box 30715",98103,"DPR"
"Groundswell Northwest","http://www.groundswellnw.org/","Supports individual parks projects","amfaste@comcast.net","206-783-6963","Andrea Faste","Environment","Parks","Citywide",,"Service provider","Nonprofit",,0,"7713 11th Ave NW",98117,"DON"
"Habitat for Humanity Seattle/South King County","http://www.seattle-habitat.org/","Build decent, affordable houses for families in need","habitat@seattle-habitat.org; slynchholmes@seattle-habitat.org","206-292-5240","Sandra Lynch Holmes","Social justice","Housing","Citywide",,"Service provider","Nonprofit",,20,"15439 53rd Ave S Suite B Tukwila",98138,"DON"
"Haller Lake Community Club","http://www.hallerlake.info/welcome.html","Promotes discussion among residents to find solutions to community problems","corp@prudentialmacphersons.com; hallerlakecommunity@comcast.net","206-367-2344","Shawn MacPherson","Community council","Neighborhood","Northwest","Haller Lake","Service provider","Community group",,0,"12579 Densmore Ave N",98113,"DPR"
"Hawthorne Hills Community Club",,"Serve the Hawthorne Hills community","ryanrockwell@cbba.com","206-527-1346","Ryan Rockwell","Community council","Neighborhood","Northeast","Hawthorne Hills","Service provider","Community group",,,"4521 NE 62nd St",98115,"DON"
"Healthy and Active Rainier Valley Coalition","http://www.kingcounty.gov/healthservices/health/chronic/steps/harvc.aspx","Promote physical activity and nutrition among Rainier Valley residents","diana.vinh@kingcounty.gov","206-263-8263","Diana Vinh","Social justice","Health","Southeast","Rainier Valley","Advocacy","Community group",,1,,98118,"DPR"
"Helping Link","http://www.helpinglink.info/","Help social adjustment, family stability, and self-sufficiency of Vietnamese Americans while nurturing community service and youth leaders","helpinglink2003@gmail.com","206-568-5160","Minh Duc Nguyen","RSJ","Immigration; Education; Employment","Downtown","International District","Service provider","Community group","Vietnamese",0,"1032 S. Jackson St Suite C",98104,"DON"
"Henry Art Gallery","http://www.henryart.org/","Provide contemporary arts education","contact-education@henryart.org","206-543-2280",,"Arts","Support","Northeast","University","Education","Nonprofit",,15,"15th Ave NE & 41st St",98195,"DON"
"High Point Community Center","http://www.seattle.gov/parks/centers/highpt.htm","Provide community center for High Point neighborhood","brian.judd@seattle.gov","206-684-7422","Brian Judd","Community council","Neighborhood","Delridge","High Point","Service provider","Community group",,,"6920 34th Ave SW",98126,"DON"
"High Point Healthy Homes and Communities - Neighborhood House","http://www.nhwa.org/lookinside/program.php?program=Community+Health","Helping low-income High Point residents advocate for environmental health and justice ","denises@nhwa.org","206-923-3266","Denise Sharify","Environment","RSJ; Social justice","Delridge","High Point","Advocacy","Nonprofit","People of color",,"6400 Sylvan Way SW",98126,"DPR"
"High Point Neighborhood Council",,"Address community issues","andrewmead@hotmail.com",,"Andrew Mead","Community council","Neighborhood","Delridge","High Point","Advocacy","Community group",,0,,98126,"DON"
"High Point Open Space Association",,"Cares for High Point's environment including the natural drainage system, parks, and open spaces","jeanette@cdcmanagement.com","206-913-0080","Jeanette Fournier","Environment","Neighborhood","Delridge","High Point","Service provider","Community group",,0,,98126,"DPR"
"Highland Park Action Committee","http://highlandpk.net/","Promote civic pride, address community issues, and promote public safety","chair09@highlandpk.net; seattleannieo@aol.com","206-763-9286","Ann Owchar","Community council","Neighborhood","Delridge","Highland Park","Advocacy","Community group",,0,"3726 SW Webster St",98126,"DON"
"Highland Park Neighborhod Planning Committee",,"Provide input on neighborhood plan",,"425-556-2432","Steve Fischer","Community council","Planning","Delridge","Highland Park","Advocacy","Community group",,0,,98106,"DPR"
"Higland Park Improvement Club","http://www.hpic1919.org/","Combine community service with an active social network","hpic1919@gmail.com","206-762-9825","Martha Mallet","Social justice","Social action","Delridge","Highland Park","Volunteerism","Nonprofit",,1,"1116 SW Holden",98106,"DPR"
"Hillman City Business Association","http://www.hillmancitybiz.org/","Support local business interests in Hillman City","denisegloster@hotmail.com",,"Denise Gloster","Business","Neighborhood","Southeast","Hillman City","Advocacy","Community group",,0,"5504 Rainier Ave S",98118,"DON"
"Hillman City Neighborhood Alliance","http://hillmancity.org/about.php","Support safety, beautification, and community spirit","outreach@hillmancity.org",,"Boyd Pickrell","Community council","Neighborhood","Southeast","Rainier Valley","Advocacy","Community group",,0,,98118,"DPR"
"Historic Seattle","http://www.historicseattle.org/","Preserve Seattle's architecture through education and advocacy","info@historicseattle.org","206-622-6952",,"Social justice","History","Citywide",,"Service provider","Nonprofit",,20,"1117 Minor Ave",98101,"DPR"
"History House","http://www.historyhouse.org/","Discover, interpret, preserve and exhibit the history and heritage of Seattle's diverse neighborhoods","cougarmt@nwlink.com; info@historyhouse.org","206-675-8875","John Nordstrand","Social justice","History","Lake Union","Fremont","Education","Nonprofit",,,"790 N 34th St",98103,"DON"
"Hmong Association","http://hmongofwa.org/","Preserve and promote Hmong culture through advocacy and education","yee.xiong@hmongassociationofwa.org","425-241-2085","Yee Xiong","RSJ","Community","Downtown","International District","Advocacy","Nonprofit","Hmong",0,"PO Box 14492",98114,"DPR"
"Holly Park Merchants Association",,"Support business and community in Holly Park",,"206-461-4775","Ron Newton","Business","Neighborhood","Greater Duwamish","NewHolly","Advocacy","Community group",,0,,98108,"DPR"
"Homeless Services and Prevention - Wellspring Family Services","http://family-services.org/get_help/homeless/index.php","Provides eviction prevention case management and housing, financial, and counseling resources","housing@wellspringfs.org","206-902-4275",,"Social justice","Homelessness","Delridge","High Point","Service provider","Nonprofit",,,"1900 Rainier Ave S",98144,"DPR"
"HomeStep","http://www.home-step.org/","Provide stable housing, supportive services, and advocacy for homeless adults, youth and families","homestep@home-step.org","206-812-8400",,"Social justice","Homelessness","Citywide",,"Service provider","Nonprofit",,,"8757 15th Ave NW",98117,"DPR"
"Homewaters Project","http://www.homewatersproject.org/index.html","Connect students and teachers to community with environmental education","homewaters@sccd.ctc.edu; cpage@sccd.ctc.edu","206-526-0187","Chris Page","Youth & family","Environment; Education","Northwest","Aurora-Licton Springs","Education","Community group",,3,"9600 College Way N",98103,"DPR"
"Hope Academic Enrichment Center","http://hopeacademic.org/About.html","Helps disadvantaged refugee and immigrant children succeed in school","hopeacademic@comcast.net",,,"Youth & family","Education; Social justice","Delridge",,"Service provider","Community group","African",0,,98106,"DPR"
"Horn of Africa Services - New Holly Branch","http://www.hoas.org/","Provide advocacy and educational services to East African immigrants and refugees","tsegayeg@hoas.org; info@hoas.org","206-462-1378","Tsegaye Gebru","RSJ","Education","Greater Duwamish","NewHolly","Service provider","Nonprofit","East African","Regional","7058 32nd Ave. S. Suite 103",98118,"DON"
"Horn of Africa Services - Rainer Branch","http://www.hoas.org/","Provide advocacy and educational services to East African immigrants and refugees","tsegayeg@hoas.org; info@hoas.org","206-760-0550","Tsegaye Gebru","RSJ","Education; Employment; Housing; Health; Immigration","Southeast","Rainier Valley","Service provider","Nonprofit","East African","Regional","4714 Rainier Ave. Ste. #105",98118,"DON"
"Horn of Africa Services - Rainier Vista Branch","http://www.hoas.org/","Provide advocacy and educational services to East African immigrants and refugees","tsegayeg@hoas.org; info@hoas.org","206-723-2062","Tsegaye Gebru","RSJ","Education; Employment; Housing; Health; Immigration","Southeast","Rainier Vista","Service provider","Nonprofit","East African","Regional","4410 29th Ave. ",98108,"DON"
"Horn of Africa Services -Yesler Terrace Branch","http://www.hoas.org/","Provide advocacy and educational services to East African immigrants and refugees","tsegayeg@hoas.org; info@hoas.org","206-344-5872","Tsegaye Gebru","RSJ","Education","East","Yesler Terrace","Service provider","Nonprofit","East African","Regional",,98122,"DON"
"I'm a Pal Foundation","http://www.issaquah.org/comorg/imapal/pal.htm","Restore local watershed through education and service","stream101@aol.com","206-762-3640 ","John and Lara Beal","Environment","Resources","Citywide",,"Service provider","Nonprofit",,0,"742 S. Southern ",98108,"DPR"
"Immigrant and Refugee Family Support","http://www.seattle.gov/humanservices/children_families/support/immigrants_refugees.htm","Funds culturally appropriate family support services to English language learners to increase student success in school","childrenandfamilies@seattle.gov","206-684-8852",,"RSJ","Education","Citywide",,"Service provider","Nonprofit",,"Regional ",,,"DPR"
"Immigrant Parents Support Group - Wellspring Family Services",,"Provide a forum for immigrant parents to discuss issues and receive support","mminkova@family-services.org; nps@wellspringfs.org","206-902-4227",,"Youth & family","RSJ","Greater Duwamish","Beacon Hill","Service provider","Nonprofit",,"Regional","1900 Rainier Ave S",98144,"DPR"
"Indochina Chinese Refugee Association","http://www.icrawa.org/","Provides assistance to new refugees and immigrants, especially the elderly and children of Southeast Asian descent","icra@icra-yscs.org","206-625-9955",,"RSJ","Education; Employment; Immigration; Emergency","Central",,"Service provider","Nonprofit","Asian",8,"200 21st Ave",98122,"DPR"
"Interbay Neighborhood Association","http://our-interbay.org/","Explore and encourage thoughtful development of the Interbay neighborhood","dave@denalifitness.com",,"Dave Croom","Community council","Neighborhood","Magnolia/Queen Anne","Magnolia","Advocacy","Community group",,0,,98199,"DON"
"Intergenerational Innovations",,"Brings seniors and youth together through activities and volunteering",,"206-525-8181","Corinne Dodge ","Social justice","Seniors","Citywide",,"Volunteerism","Community group",,,"3200 NE 125th St Suite 1",98125,"DPR"
"Interim CDA ","http://interimicda.org/","Promote, revitalize, and advocate for the International District and its residents, especially Asian and Pacific Islanders","TomIm@interimICDA.org; info@interimicda.org","206-624-1802","Tom Im","Community council","Neighborhood","Downtown","International District","Service provider","Nonprofit","Asian Pacific Islander",10,"310 Maynard Ave S",98104,"DPR"
"International District Forum",,"Provide neighborhood upkeep and improvement","TomIm@InterimICDA.org","206-624-1802","Tom Im","Community council","Planning","Downtown","International District","Service provider","Community group",,0,"310 Maynard Ave S",98104,"DON"
