"name","url","calendar_url","email","contact","type_group","Categories","description","notes","source","activity_level","audience_size","ownership","image","location","address","neighborhood","district","region","zipcode","city","state","area_code","latitude","longitude","location_geo","civic_taxonomy"
"The Maple Leafer","http://www.themapleleafer.com/",,,,"Blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"Commercial",,,,"Maple Leaf","North","N",,"Seattle","WA",,,,,
"Aurora Seattle","http://www.auroraseattle.com/",,,,"Blog","News, traffic, planNing",,,,,,"Community",,,,"Regional Sites","Northeast","NE",,"Seattle","WA",,,,,
"Hawthorne Hills Community Website","http://www.seattle.gov/hawthornehills/index.htm",,,,"Website","Community council",,,,,,"Community",,,,"Hawthorne Hills","Northeast","NE",,"Seattle","WA",,,,,
"KOMO Communities - U-District","http://udistrict.komoNews.com",,,,"Blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"Commercial",,,,"University District","Northeast","NE",,"Seattle","WA",,,,,
"KOMO Communities - View Ridge","http://viewridge.komoNews.com",,,,"Blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"Commercial",,,,"View Ridge","Northeast","NE",,"Seattle","WA",,,,,
"Laurelhurst Community Club","http://www.laurelhurstcc.com/",,,,"Website","Community club",,,,,,"Community",,,,"Laurelhurst","Northeast","NE",,"Seattle","WA",,,,,
"Magnuson Community Garden","http://cityofseattle.net/MAGNUSONGARDEN",,,,"Website","Garden",,,,,,,,,,"Laurelhurst","Northeast","NE",,"Seattle","WA",,,,,
"Magnuson Environmental Stewardship Alliance","http://mesaseattle.org/",,,,"Website","Park issues",,,,,,"Community",,,,"Laurelhurst","Northeast","NE",,"Seattle","WA",,,,,
"Maple Leaf Community Council","http://www.mapleleafCommunity.org/",,,,"Website","Community council, E-mail list available",,,,,,"Community",,,,"Maple Leaf","Northeast","NE",,"Seattle","WA",,,,,
"Ravenna Blog","http://Twitter.com/ravennaBlog",,,,"Twitter","News, Events, Human interest, Criminal activity, Crime, Public Safety, Food, Shopping",,,,,,"Community",,,,"Ravenna","Northeast","NE",,"Seattle","WA",,,,,
"Ravenna Blog","http://www.facebook.com/pages/Ravenna-Blog/116280421718247",,,,"Facebook page","News, Events, Human interest, Criminal activity, Crime, Public Safety, Food, Shopping",,,,,,"Community",,,,"Ravenna","Northeast","NE",,"Seattle","WA",,,,,
"Ravenna Blog","http://www.ravennaBlog.com/",,,,"Blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Food, Shopping",,,,,,"Community",,,,"Ravenna","Northeast","NE",,"Seattle","WA",,,,,
"Ravenna-Bryant Community Association","http://www.facebook.com/pages/Ravenna-Bryant-Community-Association/153638664651035",,,,"Facebook page","Community association",,,,,,"Community",,,,"Ravenna","Northeast","NE",,"Seattle","WA",,,,,
"Ravenna-Bryant Community Association","http://www.ravennabryant.org/",,,,"Website","Community association",,,,,,"Community ",,,,"Ravenna","Northeast","NE",,"Seattle","WA",,,,,
"Roosevelt Neighborhood Association","http://rooseveltseattle.org/default.aspx",,,,"Website","Neighborhood association",,,,,,"Community",,,,"Roosevelt","Northeast","NE",,"Seattle","WA",,,,,
"Roosevelt Neighborhood Association","http://www.facebook.com/group.php?gid=178766520060",,,,"Facebook page","Neighborhood association",,,,,,"Community",,,,"Roosevelt","Northeast","NE",,"Seattle","WA",,,,,
"Roosevelt Neighbors' Alliance","http://www.rooseveltneighborsalliance.org/main/Roosevelt_Neighbors_Alliance.html",,,,"Website","Neighborhood association",,,,,,"Community",,,,"Roosevelt","Northeast","NE",,"Seattle","WA",,,,,
"Roosevelt Seattle","http://Twitter.com/roosieseattle",,,,"Twitter","News, Events",,,,,,"Community",,,,"Roosevelt","Northeast","NE",,"Seattle","WA",,,,,
"Sustainable Northeast Seattle","http://sustainableneseattle.Ning.com/",,,,"Ning","Community group",,,,,,"Community",,,,"Wedgwood, Laurelhurst, Ravenna, Roosevelt","Northeast","NE",,"Seattle","WA",,,,,
"The Laurelhurst Blog","http://thelaurelhurstBlog.Blogspot.com/",,,,"Blog","News, Events",,,,,,"Community",,,,"Laurelhurst","Northeast","NE",,"Seattle","WA",,,,,
"The Wedgwood Blog","http://wedgwoodBlog.spaces.live.com/default.aspx",,,,"Blog","News, Events",,,,,,"Commercial",,,,"Wedgwood","Northeast","NE",,"Seattle","WA",,,,,
"Thornton Creek Alliance","http://www.scn.org/tca/",,,,"Website","Community group",,,,,,,,,,"Thornton Creek","Northeast","NE",,"Seattle","WA",,,,,
"U District Daily","http://www.udistrictdaily.com/",,,,"Blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"Commercial",,,,"University District","Northeast","NE",,"Seattle","WA",,,,,
"University District Business Improvement Area","http://www.udistrictchamber.org/UDBIA/index.html",,,,"Website","Business association",,,,,,"Community",,,,"University District","Northeast","NE",,"Seattle","WA",,,,,
"University District Food Bank","http://www.facebook.com/pages/Seattle-WA/University-District-Food-Bank/47523824407",,,,"Facebook page","Food bank",,,,,,"Community",,,,"University District","Northeast","NE",,"Seattle","WA",,,,,
"University District Food Bank","http://www.udistrictFoodbank.org/",,,,"Website","Food bank",,,,,,"Community",,,,"University District","Northeast","NE",,"Seattle","WA",,,,,
"University District Seattle","http://www.udistrictchamber.org/GUCC/GUCC.html",,,,"Website","Chamber of Commerce",,,,,,"Community",,,,"University District","Northeast","NE",,"Seattle","WA",,,,,
"University District Service Fund","http://www.udistrictchamber.org/udistrictservicefund/index.html",,,,"Website","Non-profit",,,,,,"Community",,,,"University District","Northeast","NE",,"Seattle","WA",,,,,
"Wedgwood Block Watch","http://www.wedgwoodcc.org/wwbw/",,,,"Website","Block watch",,,,,,"Community",,,,"Wedgwood","Northeast","NE",,"Seattle","WA",,,,,
"Wedgwood Community Council","http://www.wedgwoodcc.org/",,,,"Website","Community council",,,,,,"Community",,,,"Wedgwood","Northeast","NE",,"Seattle","WA",,,,,
"Wedgwood Community Council","http://www.facebook.com/pages/Wedgwood-Community-Council/146730522040662",,,,"Facebook page","Community council",,,,,,"Community",,,,"Wedgwood","Northeast","NE",,"Seattle","WA",,,,,
"Wedgwood View","http://Twitter.com/wedgwoodview",,,,"Twitter","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"Commercial",,,,"Wedgwood","Northeast","NE",,"Seattle","WA",,,,,
"Wedgwood View","http://www.facebook.com/pages/Wedgwood-View/331236446338",,,,"Facebook page","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"Commercial",,,,"Wedgwood","Northeast","NE",,"Seattle","WA",,,,,
"Wedgwood View","http://www.wedgwoodview.com/",,,,"Blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"Commercial",,,,"Wedgwood","Northeast","NE",,"Seattle","WA",,,,,
"Blue Ridge Club","http://www.blueridgeseattle.com/index.php",,,,"Website","Homeowners club",,,,,,"Community",,,,"Blue Ridge","Northwest",,,"Seattle","WA",,,,,
"Broadview Community Council","http://groups.google.com/group/broadview-Community-council",,,,"E-mail list","Community council",,,,,,"Community",,,,"Broadview","Northwest","SW",,"Seattle","WA",,,,,
"Broadview Community Council","http://www.broadviewseattle.org/",,,,"Blog","Community council",,,,,,"Community",,,,"Broadview","Northwest","NW",,"Seattle","WA",,,,,
"Friends of Green Lake","http://www.friendsofgreenlake.org/",,,,"Website","Neighborhood group",,,,,,"Community",,,,"Green Lake","Northwest","NW",,"Seattle","WA",,,,,
"Greater Greenwood Bi-Ped Safety Coalition","http://bipedsafety.org/",,,,"Website","Community group",,,,,,"Community",,,,"Greenwood","Northwest","NW",,"Seattle","WA",,,,,
"Greenlake Community Council","http://www.greenlakeCommunitycouncil.org/",,,,"Website","Community council",,,,,,"Community",,,,"Green Lake","Northwest","NW",,"Seattle","WA",,,,,
"Greenlake Community Wiki","http://greenlake.wetpaint.com/",,,,"Wiki","Events, for sale, services",,,,,,"Community",,,,"Green Lake","Northwest","NW",,"Seattle","WA",,,,,
"Greenwood Aurora Involved Neighbors","http://www.gainseattle.com/",,,,"Website","Neighborhood association",,,,,,"Community",,,,"Greenwood","Northwest","NW",,"Seattle","WA",,,,,
"Greenwood Blog","http://www.greenwoodBlog.com/",,,,"Blog","News, Events",,,,,,"Commercial",,,,"Greenwood","Northwest","NW",,"Seattle","WA",,,,,
"Greenwood Community Council","http://www.greenwoodCommunitycouncil.org/about/",,,,"Website","Community council",,,,,,"Community",,,,"Greenwood","Northwest","NW",,"Seattle","WA",,,,,
"Greenwood Community Council Announcements","http://groups.yahoo.com/group/Greenwood_News/",,,,"E-mail list","Community council",,,,,,"Community",,,,"Greenwood","Northwest","NW",,"Seattle","WA",,,,,
"Greenwood Community Council Discussion","http://groups.yahoo.com/group/greenwood-discussion/",,,,"E-mail list","Community council",,,,,,"Community",,,,"Greenwood","Northwest","NW",,"Seattle","WA",,,,,
"Greenwood Phinney Chamber of Commerce","http://www.greenwood-phinney.com/",,,,"Website","Chamber of Commerce",,,,,,"Community",,,,"Greenwood","Northwest","NW",,"Seattle","WA",,,,,
"KOMO Communities - Ballard","http://ballard.komoNews.com/",,,,"Blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"Commercial",,,,"Ballard","Northwest","NW",,"Seattle","WA",,,,,
"KOMO Communities - Green Lake","http://greenlake.komoNews.com",,,,"Blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"Commercial",,,,"Green Lake","Northwest","NW",,"Seattle","WA",,,,,
"KOMO Communities - Greenwood-Phinney","http://greenwood-phinney.komoNews.com",,,,"Blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"Commercial",,,,"Greenwood-Phinney","Northwest","NW",,"Seattle","WA",,,,,
"KOMO Communities - Wallingford","http://wallingford.komoNews.com",,,,"Blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"Commercial",,,,"Wallingford","Northwest","NW",,"Seattle","WA",,,,,
"Licton Springs Neighborhood ","http://www.lictonsprings.org/",,,,"Website","Neighborhood council",,,,,,"Community",,,,"Licton Springs","Northwest","NW",,"Seattle","WA",,,,,
"My Greenlake Blog","http://www.mygreenlake.com/",,,,"Blog","News, Events, Food",,,,,,"Commercial",,,,"Green Lake","Northwest","NW",,"Seattle","WA",,,,,
"MyWallingford","http://mywallingford.com",,,,"Blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"Commercial",,,,"Wallingford","Northwest","NW",,"Seattle","WA",,,,,
"MyWallingford","http://Twitter.com/mywallingford",,,,"Twitter","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"Commercial",,,,"Wallingford","Northwest","NW",,"Seattle","WA",,,,,
"MyWallingford","http://www.facebook.com/MyWallingford?ref=ts",,,,"Facebook page","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"Commercial",,,,"Wallingford","Northwest","NW",,"Seattle","WA",,,,,
"Northwest District Council","http://www.nwdistrictcouncil.org/",,,,"Website","District council",,,,,,"Community",,,,"Northwest","Northwest","NW",,"Seattle","WA",,,,,
"Phinney Neighborhood Association","http://phinneycenter.Blogspot.com/",,,,"Blog","Association News and Events",,,,,,"Community",,,,"Phinney Ridge","Northwest","NW",,"Seattle","WA",,,,,
"Phinney Neighborhood Association","http://www.facebook.com/group.php?gid=42314991794",,,,"Facebook page","Neighborhood association",,,,,,"Community",,,,"Phinney Ridge","Northwest","NW",,"Seattle","WA",,,,,
"Phinney Neighborhood Association","http://www.phinneycenter.org/",,,,"Website","Neighborhood association",,,,,,"Community",,,,"Phinney Ridge","Northwest","NW",,"Seattle","WA",,,,,
"Phinney Ridge Ecovillage","http://www.phinneyecovillage.net/",,,,"Website","Community group",,,,,,"Community",,,,"Phinney Ridge","Northwest","NW",,"Seattle","WA",,,,,
"PhinneyWood","http://www.phinneywood.com/",,,,"Blog","News, Events, Food, Shopping",,,,,,"Commercial",,,,"Phinney Ridge","Northwest","NW",,"Seattle","WA",,,,,
"Solid Ground","http://www.facebook.com/pages/Solid-Ground/20665239656",,,,"Facebook page","Non-profit",,,,,,"Community",,,,"Wallingford","Northwest","NW",,"Seattle","WA",,,,,
"Solid Ground","http://www.solid-ground.org/Pages/Default.aspx",,,,"Website","Non-profit",,,,,,"Community",,,,"Wallingford","Northwest","NW",,"Seattle","WA",,,,,
"Sustainable Greenwood/Phinney","http://web.me.com/annecann1/iWeb/Site/Home.html",,,,"Website","Sustainability",,,,,,"Community",,,,"Phinney Ridge","Northwest","NW",,"Seattle","WA",,,,,
"Vision Greenwood Park Seattle","http://www.facebook.com/pages/Vision-Greenwood-Park-Seattle/165995713450762",,,,"Facebook page","Park issues, Events, neighborhood issues, neighborhood planNing",,,,,,"Community",,,,"Greenwood","Northwest","NW",,"Seattle","WA",,,,,
"Wallingford Chamber of Commerce","http://wallingfordchamber.org/",,,,"Website","Chamber of Commerce",,,,,,"Community",,,,"Wallingford","Northwest","NW",,"Seattle","WA",,,,,
"Wallingford Community Council","http://council.iactivesite.com/",,,,"Website","Community council",,,,,,"Community",,,,"Wallingford","Northwest","NW",,"Seattle","WA",,,,,
"Wallingford Seattle Blog","http://Twitter.com/wallingford",,,,"Twitter","News, Events, advice",,,,,,"Community",,,,"Wallingford","Northwest","NW",,"Seattle","WA",,,,,
"Wallingford Seattle Blog","http://wallingfordseattle.tumblr.com/",,,,"Blog","News, Events, advice",,,,,,"Community",,,,"Wallingford","Northwest","NW",,"Seattle","WA",,,,,
"Wallingford.org","http://www.wallingford.org/",,,,"Website","Neighborhood group",,,,,,"Community",,,,"Wallingford","Northwest","NW",,"Seattle","WA",,,,,
"Wallyhood - Wallingford Seattle Blog","http://Twitter.com/wallyhood",,,,"Twitter","News, Events",,,,,,"Commercial",,,,"Wallingford","Northwest","NW ",,"Seattle","WA",,,,,
"Wallyhood - Wallingford Seattle Blog","http://www.wallyhood.org/",,,,"Blog","News, Events",,,,,,"Commercial",,,,"Wallingford","Northwest","NW",,"Seattle","WA",,,,,
"Bike Works!","http://www.bikeworks.org/",,,,"Website","Community group",,,,,,,,,,"Columbia City","Southeast","SE",,"Seattle","WA",,,,,
"Columbia Citizens","http://columbiacitizens.net/",,,,"Wiki","Neighborhood Community site, buying, selling, restaurants, favorite places",,,,,,"Community",,,,"Columbia City","Southeast","SE",,"Seattle","WA",,,,,
"Columbia Citizens","http://Twitter.com/CCitizens",,,,"Twitter","Twitter, columbia citizens",,,,,,"Community",,,,"Columbia City","Southeast","SE",,"Seattle","WA",,,,,
"Columbia Citizens","http://www.facebook.com/pages/Columbia-Citizens/48558627705",,,,"Facebook page","Neighborhood Community site, buying, selling, restaurants, favorite places",,,,,,"Community",,,,"Columbia City","Southeast","SE",,"Seattle","WA",,,,,
"Columbia City Blog","http://www.columbiacityBlog.com/",,,,"Blog","News, Events, Food, Shopping",,,,,,"Commercial",,,,"Columbia City","Southeast","SE",,"Seattle","WA",,,,,
"Columbia City, Seattle","http://www.columbiacityseattle.com/",,,,"Website","Business association",,,,,,"Community",,,,"Columbia City","Southeast","SE",,"Seattle","WA",,,,,
"Columbia City: Rainier Valley","http://www.rainiervalley.org/",,,,"Website","Portal",,,,,,"Community",,,,"Rainier Valley","Southeast","SE",,"Seattle","WA",,,,,
"Friends of Seward Park","http://www.sewardpark.org/",,,,"Website","Park issues",,,,,,"Community",,,,"Seward Park","Southeast","SE",,"Seattle","WA",,,,,
"Hillman City Neighborhood Alliance","http://www.hillmancity.org/",,,,"Website","Neighborhood alliance",,,,,,,,,,"Hillman City","Southeast","SE",,"Seattle","WA",,,,,
"KOMO Communities - Columbia City","http://columbiacity.komoNews.com",,,,"Blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"Commercial",,,,"Columbia City","Southeast","SE",,"Seattle","WA",,,,,
"KOMO Communities - Rainier Valley","http://rainiervalley.komoNews.com",,,,"Blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Food, Shopping",,,,,,"Commercial",,,,"Rainier Valley","Southeast","SE",,"Seattle","WA",,,,,
"MLK Business Association","http://www.mlkba.org/",,,,"Website","Business association",,,,,,"Community",,,,"Rainier Valley","Southeast","SE",,"Seattle","WA",,,,,
"Mount Baker Community Club","http://groups.yahoo.com/group/MBCCCommunityNotices/",,,,"E-mail list","Community club",,,,,,,,,,"Mount Baker","Southeast","SE",,"Seattle","WA",,,,,
"Mount Baker Neighborhood ","http://www.mountbaker.org/index.php",,,,"Website","Community group",,,,,,"Community",,,,"Mount Baker","Southeast","SE",,"Seattle","WA",,,,,
"New Holly Neighborhood Campus","http://www.newholly.org/",,,,"Website","Services portal",,,,,,"Community",,,,"Rainier Valley","Southeast","SE",,"Seattle","WA",,,,,
"New Rainier Vista","http://newrainiervista.com/public/about/",,,,"Blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"Community",,,,"Rainier Beach","Southeast","SE",,"Seattle","WA",,,,,
"Othello Neighborhood Association","http://othello.talkspot.com/",,,,"Website","Neighborhood association",,,,,,"Community",,,,"Othello","Southeast","SE",,"Seattle","WA",,,,,
"Rainier Beach Community Empowerment Coalition","http://Twitter.com/rainierbeach",,,,"Twitter","News, Events, issues",,,,,,"Community",,,,"Rainier Beach","Southeast","SE",,"Seattle","WA",,,,,
"Rainier Beach Community Empowerment Coalition","http://www.rbcoalition.org/",,,,"Blog","News, Events, issues",,,,,,"Community",,,,"Rainier Beach","Southeast","SE",,"Seattle","WA",,,,,
"Rainier Valley Historical Society","http://www.rainiervalleyhistory.org/",,,,"Website","Historical society",,,,,,"Community",,,,"Rainier Valley","Southeast","SE",,"Seattle","WA",,,,,
"Rainier Valley Post","http://www.rainiervalleypost.com/",,,,"Blog","News, Events, 911 blotter, Food, reviews",,,,,,"Commercial",,,,"Rainier Valley","Southeast","SE",,"Seattle","WA",,,,,
"Seattle's Othello Neighborhood","http://othelloneighborhood.org/default.aspx",,,,"Website","Community group Website, Shared Community Group Website",,,,,,"Community",,,,"Othello","Southeast","SE",,"Seattle","WA",,,,,
"Southeast District Council","http://sedcseattle.wordpress.com/",,,,"Blog","District council",,,,,,"Community",,,,"Rainier Valley, Columbia City, Hillman City, Othello, Rainier Beach, Mount Baker","Southeast","SE",,"Seattle","WA",,,,,
"Southend Seattle","http://southendseattle.com",,,,"Blog","News, Events, Human interest",,,,,,"Community",,,,"Beacon Hill, Mount Baker, Genesee, Georgetown, Columbia City, Hillman City, Lakewood-Seward Park, Rainier Beach, Bryn Mawr- Skyway, Lakeridge, South Park, Allentown","Southeast, Greater Duwamish","SE, SW",,"Seattle","WA",,,,,
"Admiral Neighborhood Association","http://groups.yahoo.com/group/AdmiralNeighborhood/",,,,"E-mail list","Neighborhood association",,,,,,"Community",,,,"Admiral (West Seattle)","Southwest","SW",,"Seattle","WA",,,,,
"Alki News","http://groups.yahoo.com/group/alkibeachCommunity/",,,,"E-mail list","Community council, Alki Community council, Residents, Alki Beach neighborhood",,,,,,"Community",,,,"Alki","Southwest","SW",,"Seattle","WA",,,,,
"Alki News/Alki Community Council","http://alkiNews.wordpress.com/",,,,"Blog","News, council meetings",,,,,,"Community",,,,"Alki","Southwest","SW",,"Seattle","WA",,,,,
"ArtsWest","http://www.artswest.org/?q=node/28",,,,"Website","Arts",,,,,,"Community",,,,"West Seattle","Southwest","SW",,"Seattle","WA",,,,,
"Beach Drive Blog","http://www.mortgageporter.com/beach_drive/",,,,"Blog","News, Home sales, Crime",,,,,,"Commercial",,,,"Alki","Southwest","SW",,"Seattle","WA",,,,,
"Fauntleroy Community Association","http://fauntleroy.net/",,,,"Website","Community association",,,,,,"Community",,,,"Fauntleroy","Southwest","SW",,"Seattle","WA",,,,,
"Fauntleroy Community Association","http://www.facebook.com/pages/Seattle-WA/Fauntleroy-Community-Association/63181596775?v=wall&viewas=1779772562&ref=ts",,,,"Facebook page","Community association",,,,,,"Community",,,,"Fauntleroy","Southwest","SW",,"Seattle","WA",,,,,
"Genesee-Schmitz Neighborhood Council","http://genesee-schmitz.org/",,,,"Blog","Neighborhood council",,,,,,"Community",,,,"Genesee-Schmitz","Southwest","SW",,"Seattle","WA",,,,,
"Junction Neighborhood Organization","http://www.wsjuno.com/",,,,"Blog","Events, meetings",,,,,,"Community",,,,"Junction","Southwest","W",,"Seattle","WA",,,,,
"KOMO Communities - West Seattle","http://westseattle.komoNews.com",,,,"Blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"Commercial",,,,"West Seattle","Southwest","SW",,"Seattle","WA",,,,,
"Morgan Junction Community Association","http://morganjunction.org/",,,,"Website","Community association",,,,,,"Community",,,,"Morgan Junction","Southwest","SW",,"Seattle","WA",,,,,
"Official Website of the High Point Neighborhood","http://www.highpointneighborhood.org/",,,,"Website","Neighborhood association",,,,,,"Community",,,,"High Point","Southwest","SW",,"Seattle","WA",,,,,
"Senior Center West Seattle","http://www.sc-ws.org/julaug09/",,,,"Website","Senior center",,,,,,"Community",,,,"West Seattle","Southwest","SW",,"Seattle","WA",,,,,
"Senior Services","http://www.seniorservices.org/",,,,"Website","Senior services",,,,,,"Community",,,,"West Seattle","Southwest","SW",,"Seattle","WA",,,,,
"The Junction: Downtown West Seattle","http://www.wsjunction.com/",,,,"Website","Neighborhood association",,,,,,"Community",,,,"Junction","Southwest","W",,"Seattle","WA",,,,,
"West Seattle Chamber of Commerce","http://www.wschamber.com/",,,,"Website","Chamber of Commerce",,,,,,"Community",,,,"West Seattle","Southwest","SW",,"Seattle","WA",,,,,
"White Center Technology Programs","http://technology.program.googlepages.com/",,,,"Website","Tech resources",,,,,,"Community",,,,"White Center","Southwest","SW",,"Seattle","WA",,,,,
"Sustainable West Seattle","http://www.sustainablewestseattle.org/",,,,"Blog","Events, Issues, Food, Neighborhood planNing",,,,,,"Community",,,,"West Seattle","Southwest, Delridge","SW",,"Seattle","WA",,,,,
"West Seattle Blog","http://Twitter.com/westseattleBlog",,,,"Twitter","News, Events, Human interest",,,,,,"Commercial",,,,"West Seattle","Southwest, Delridge","SW",,"Seattle","WA",,,,,
"West Seattle Blog","http://westseattleBlog.com/",,,,"Blog","News, Events, Human interest",,,,,,"Commercial",,,,"West Seattle","Southwest, Delridge","SW",,"Seattle","WA",,,,,
"West Seattle Blog","http://www.facebook.com/westseattleBlog",,,,"Facebook page","Profile page, West Seattle Blog",,,,,,"Commercial",,,,"West Seattle","Southwest, Delridge","SW",,"Seattle","WA",,,,,
"West Seattle Herald","http://Twitter.com/westseattleher",,,,"Twitter","Online Newspaper",,,,,,"Commercial",,,,"West Seattle","Southwest, Delridge","SW",,"Seattle","WA",,,,,
"West Seattle Herald","http://www.facebook.com/wsherald",,,,"Facebook page","Online Newspaper",,,,,,"Commercial",,,,"West Seattle","Southwest, Delridge","SW",,"Seattle","WA",,,,,
"West Seattle Herald","http://www.westseattleherald.com/",,,,"Website","Online Newspaper",,,,,,"Commercial",,,,"West Seattle","Southwest, Delridge","SW",,"Seattle","WA",,,,,
